# Unaccelerated dynamics with 100000 total measurements of susceptibility 
# N, beta, IAT and error, chi and error, simulation time [sec], acceptance rate
4.000000000000000000e+01 4.000000000000000000e+01 6.400000000000000000e+01 6.400000000000000000e+01 6.400000000000000000e+01 9.600000000000000000e+01 9.600000000000000000e+01 1.600000000000000000e+02 1.600000000000000000e+02 2.240000000000000000e+02 4.000000000000000000e+02 5.120000000000000000e+02 7.000000000000000000e+02
5.999999999999999778e-01 6.666999999999999593e-01 7.332999999999999519e-01 8.000000000000000444e-01 8.667000000000000259e-01 9.333000000000000185e-01 1.000000000000000000e+00 1.066699999999999982e+00 1.133299999999999974e+00 1.199999999999999956e+00 1.266699999999999937e+00 1.333299999999999930e+00 1.399999999999999911e+00
5.601325439981520660e+00 9.001500233081454638e+00 1.466809039728958908e+01 2.522447591659000210e+01 3.804161024350278097e+01 6.124729872163948841e+01 1.325426637704522079e+02 1.844795288225347747e+02 5.536709505091246228e+02 6.754283479610950280e+02 1.533073399138616423e+03 2.228807063886378273e+03 6.568319964411256478e+03
1.734778019940320382e-01 3.521678488540885832e-01 7.228550747033307688e-01 1.623582443675168685e+00 3.011149062842961133e+00 6.143481779418277000e+00 1.952209863041909443e+01 3.202894282240080059e+01 1.664971441895099531e+02 2.243268763856837325e+02 7.671348402397160271e+02 1.344586839253862308e+03 4.824513003800321712e+03
1.230453601952747711e+01 1.762103068792109539e+01 2.520760525639051863e+01 3.923929882812014114e+01 6.325594201099252700e+01 1.120071760716182467e+02 2.028658566632927318e+02 3.628436354653279068e+02 7.269738303744766199e+02 1.505238533394416208e+03 3.011507033332845367e+03 6.074961072630104354e+03 1.366752067151369556e+04
6.520184222819565278e-02 1.177666744353070838e-01 2.182047638181890681e-01 4.381991891111029491e-01 8.797015758439948874e-01 1.947485381494557410e+00 5.071455930725072392e+00 1.037585927605657865e+01 3.608723369094460764e+01 7.739769568310806847e+01 2.582072738448907785e+02 6.693774339103729289e+02 1.939529212307516445e+03
2.514208467245101929e+03 2.567569353580474854e+03 5.129999653339385986e+03 5.034321933031082153e+03 5.200621516227722168e+03 1.094201470828056335e+04 1.094225887441635132e+04 3.865891519498825073e+04 3.834962507867813110e+04 9.366796063423156738e+04 4.442884788382053375e+05 8.492925868663787842e+05 1.805200622259145370e+06
7.677353463812471857e-01 6.337137764437087428e-01 6.829077785301101988e-01 7.020447763270524222e-01 6.232858753274832520e-01 7.485611844373909474e-01 7.403033657115067889e-01 7.240821632569888200e-01 7.211613003368817498e-01 6.444859600732656402e-01 7.710776059949168149e-01 7.731645090013916644e-01 7.293472946778107868e-01
