# Accelerated dynamics with 100000 total measurements of susceptibility 
# N, beta, IAT and error, chi and error, simulation time [sec], acceptance rate
4.000000000000000000e+01 4.000000000000000000e+01 6.400000000000000000e+01 6.400000000000000000e+01 6.400000000000000000e+01 9.600000000000000000e+01 9.600000000000000000e+01 1.600000000000000000e+02 1.600000000000000000e+02 2.240000000000000000e+02 4.000000000000000000e+02 5.120000000000000000e+02 7.000000000000000000e+02
5.999999999999999778e-01 6.666999999999999593e-01 7.332999999999999519e-01 8.000000000000000444e-01 8.667000000000000259e-01 9.333000000000000185e-01 1.000000000000000000e+00 1.066699999999999982e+00 1.133299999999999974e+00 1.199999999999999956e+00 1.266699999999999937e+00 1.333299999999999930e+00 1.399999999999999911e+00
8.563446099663128308e+00 8.948369438472782988e+00 9.919038263108260978e+00 9.608982546817623316e+00 1.156136494640124646e+01 1.259567673318285941e+01 1.406568553927657028e+01 1.493748052279318017e+01 1.533945160065145785e+01 1.659013438290752518e+01 1.448694534467493789e+01 2.091124043656223108e+01 2.069150919466548544e+01
3.259732171137674772e-01 3.453898030471281855e-01 4.032888832987974181e-01 3.858292297862710440e-01 5.090671684954585219e-01 5.774897684578449431e-01 6.814186249648421789e-01 7.422910308098276122e-01 7.747632562055175587e-01 8.708051000872086833e-01 7.079032860500756863e-01 1.228081880348942612e+00 1.243346533456425318e+00
1.224648806653999245e+01 1.729801374583115958e+01 2.532421584094466382e+01 3.897013891332088775e+01 6.392207802979802977e+01 1.095247350161958906e+02 1.978646584037046523e+02 3.834106916991307230e+02 7.508987460056733880e+02 1.535470919999685293e+03 3.111619026556382323e+03 6.509150440646113566e+03 1.335373523878960259e+04
8.093345324948129915e-02 1.154299826839413068e-01 1.770030602737030778e-01 2.691164459099793516e-01 4.766903682928994579e-01 8.602365922342006810e-01 1.642259140081304469e+00 3.244546972784098759e+00 6.177000784392830290e+00 1.307715368269673739e+01 2.540690945938401413e+01 6.206458100681899026e+01 1.292704886513590736e+02
2.400134410381317139e+03 2.431806910753250122e+03 4.835233902931213379e+03 4.927425544261932373e+03 5.000782093286514282e+03 1.028865406179428101e+04 1.018293358254432678e+04 3.387034345579147339e+04 3.409689935421943665e+04 7.668661030340194702e+04 3.678565059716701508e+05 7.491575726838111877e+05 1.061882718975972568e+06
7.201170340727505170e-01 6.115266811574554540e-01 7.916050434656578538e-01 7.882017328391417443e-01 7.228043289718877329e-01 6.992073692202300794e-01 6.566740805547144344e-01 7.054194686600177011e-01 6.702158179614549072e-01 6.822713906283205398e-01 6.972755576088967011e-01 6.691731332050835368e-01 6.402594278816596818e-01
